zip,smoking_RR,diabetes_RR
2840,0.684782609,0.76744186
2841,0.684782609,0.76744186
2842,0.684782609,0.76744186
2852,1.059782609,1.220930233
2854,1.059782609,1.220930233
2857,0.929347826,0.976744186
2858,0.929347826,0.976744186
2859,0.929347826,0.976744186
2860,0.929347826,0.976744186
2861,0.929347826,0.976744186
2862,0.929347826,0.976744186
2863,0.929347826,0.976744186
2864,0.929347826,0.976744186
2865,0.929347826,0.976744186
2871,0.684782609,0.76744186
2872,0.684782609,0.76744186
2873,1.059782609,1.220930233
2874,1.059782609,1.220930233
2875,1.059782609,1.220930233
2876,0.929347826,0.976744186
2877,1.059782609,1.220930233
2878,0.684782609,0.76744186
2879,1.059782609,1.220930233
2880,1.059782609,1.220930233
2881,1.059782609,1.220930233
2882,1.059782609,1.220930233
2883,1.059782609,1.220930233
2885,1.10326087,1.186046512
2886,1.152173913,1.279069767
2887,1.152173913,1.279069767
2888,1.152173913,1.279069767
2889,1.152173913,1.279069767
2891,1.059782609,1.220930233
2892,1.059782609,1.220930233
2893,1.152173913,1.279069767
2894,1.059782609,1.220930233
2895,0.929347826,0.976744186
